Item Name,Country,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
beverages,Canada,818.2,718.5,656.3,567.5,523.2,425.4,353.3,330.7,290.2,303.3,352.9,378.2,363.1,345.2,302.3,437.1,432.6,488.4,492.9,487.7,533.7,536.7,512.1,493.3,474.7
beverages,Netherlands,705.4,871.2,853.9,905.7,768.8,798.4,816.3,793.6,837.8,792.7,854.1,891.3,889.8,969.1,984.5,"1,196.5","1,337.9","1,129.6",931.0,896.4,906.4,886.9,789.3,735.4,628.3
beverages,New Zealand,607.8,594.5,559.6,495.8,474.3,447.5,434.1,411.4,369.6,336.9,290.0,256.8,210.0,207.4,160.4,154.1,155.9,111.3,101.2,68.0,51.3,37.4,26.2,22.7,17.8
beverages,Spain,405.1,434.1,453.9,352.6,385.5,393.6,385.5,365.5,352.5,360.7,355.3,332.7,311.0,279.5,253.4,292.4,280.2,247.4,219.9,192.3,165.4,141.0,117.2,108.5,120.5
beverages,Austria,378.9,634.1,932.1,"1,072.1","1,055.4",977.2,887.3,717.2,619.9,509.8,524.7,543.9,475.1,402.3,343.0,339.5,609.7,770.5,450.1,342.5,190.2,89.2,94.8,50.5,17.2
beverages,Australia,299.6,337.6,326.3,344.0,354.1,374.9,422.9,409.6,442.9,457.7,502.6,534.7,556.3,605.7,640.9,697.2,794.6,763.4,762.3,729.8,626.4,458.7,346.2,282.2,204.3
beverages,Rest of world,"2,480.7","2,977.6","3,412.5","3,042.2","3,268.3","3,448.6","3,649.6","3,628.7","3,570.1","3,203.9","3,084.2","3,002.7","2,676.7","2,362.2","2,127.6","2,252.9","1,812.1","1,477.1","1,331.5","1,106.4","1,020.3",957.4,883.8,884.6,789.6
beverages,World,"17,920.2","18,701.8","18,552.1","16,124.0","16,033.3","15,547.5","14,912.8","13,982.2","13,237.9","12,392.2","11,629.0","11,240.6","10,482.1","9,587.4","8,989.7","10,177.8","10,269.8","9,510.4","8,206.1","7,352.9","6,942.7","6,129.3","5,394.0","5,104.9","4,718.1"
Wine,France,"2,475.5","2,659.7","2,542.3","1,703.5","2,118.7","2,063.5","1,829.9","1,588.5","1,538.1","1,474.8","1,409.0","1,348.3","1,231.0",992.4,968.8,"1,415.8","1,434.8","1,291.1","1,087.8","1,025.5","1,122.2",914.0,811.4,897.3,"1,008.0"
Wine,Italy,"2,255.4","2,476.0","2,525.0","2,106.7","2,053.9","2,071.7","1,931.6","1,859.5","1,747.0","1,740.5","1,646.8","1,505.5","1,518.1","1,282.0","1,197.3","1,309.1","1,285.0","1,173.1","1,075.8",968.2,927.1,777.9,630.6,584.9,545.9
Wine,New Zealand,596.8,583.7,551.7,489.0,465.3,437.9,423.8,400.9,361.0,328.0,282.0,248.6,199.7,197.5,152.6,145.5,145.5,103.5,93.9,61.0,43.4,30.4,20.7,17.5,12.1
Wine,Spain,382.2,417.3,438.9,342.5,377.8,385.0,378.2,359.3,346.1,353.9,349.0,326.6,305.2,273.9,248.1,285.2,271.8,237.7,211.4,185.3,158.0,134.0,112.0,105.3,119.2
Wine,Australia,270.3,309.5,293.4,319.3,338.4,356.8,407.3,393.8,431.7,450.4,498.2,530.7,553.6,603.4,638.6,693.9,791.9,761.6,761.0,728.2,625.6,457.9,345.4,281.3,203.6
Wine,Argentina,200.5,281.0,265.4,251.0,270.1,285.1,309.2,330.4,345.3,351.7,378.1,402.7,341.0,269.8,215.6,183.6,131.8,92.1,66.8,47.4,37.3,34.9,36.3,32.5,21.7
Wine,Canada,196.3,182.8,181.3,143.9,136.7,95.4,80.7,77.4,61.8,53.1,38.8,27.8,31.0,13.6,9.1,11.6,10.4,21.7,33.6,24.2,41.3,66.9,63.1,48.5,23.5
Wine,Rest of world,730.1,903.8,986.7,889.1,749.1,743.8,768.8,734.8,732.6,721.4,754.1,761.2,722.0,673.0,608.2,609.3,584.5,498.8,465.6,403.3,356.2,324.9,296.1,289.9,276.7
Wine,World,"7,107.1","7,813.8","7,784.7","6,245.0","6,510.0","6,439.2","6,129.5","5,744.6","5,563.6","5,473.8","5,356.0","5,151.4","4,901.6","4,305.6","4,038.3","4,654.0","4,655.7","4,179.6","3,795.9","3,443.1","3,311.1","2,740.9","2,315.6","2,257.2","2,210.7"
Malt beer,Mexico,"5,683.2","5,383.9","4,863.0","4,150.9","3,946.9","3,595.4","3,315.9","3,094.2","2,722.9","2,450.9","1,917.4","1,818.7","1,676.9","1,591.3","1,519.9","1,567.0","1,593.0","1,600.4","1,340.5","1,163.3","1,068.0","1,003.1",877.6,756.4,650.4
Malt beer,Netherlands,622.1,774.9,744.5,807.1,723.7,768.2,785.4,784.5,830.2,783.4,844.0,878.7,862.7,945.9,957.3,"1,055.1","1,044.4","1,074.4",926.9,889.0,897.2,879.5,783.0,731.6,625.1
Malt beer,Ireland,153.7,166.9,151.7,147.9,191.2,185.5,191.9,211.5,184.7,131.1,170.5,167.0,164.3,137.3,144.3,157.0,133.8,141.1,131.9,79.3,96.5,78.0,65.1,101.1,85.7
Malt beer,Canada,105.1,97.6,100.3,100.8,103.2,106.4,109.8,106.3,138.9,153.6,175.7,182.9,195.8,213.0,190.6,294.6,282.0,275.1,231.6,216.1,223.2,207.5,228.1,207.8,179.0
Malt beer,Germany,70.6,74.0,81.1,68.6,82.4,98.7,169.5,121.1,81.4,83.2,99.5,112.4,147.6,148.8,127.8,135.9,140.0,140.0,145.4,145.7,151.0,153.0,147.1,141.5,136.8
Malt beer,Belgium,41.0,51.0,222.6,333.6,367.0,310.6,300.2,327.9,369.5,306.5,238.2,233.7,209.7,162.8,121.3,146.0,133.5,69.1,47.1,32.4,25.4,16.4,14.7,8.6,6.9
Malt beer,Italy,30.2,28.9,31.1,22.0,23.1,19.2,18.8,15.9,16.7,23.2,22.4,31.5,31.1,28.9,25.5,25.0,18.6,14.4,11.8,9.7,9.9,8.1,6.7,7.1,8.0
Malt beer,Rest of world,132.7,128.5,167.3,108.2,149.8,231.4,172.6,185.8,183.6,195.8,215.9,258.1,262.2,263.6,238.8,267.1,256.6,248.1,245.4,216.1,194.4,220.1,210.7,211.3,189.5
Malt beer,World,"6,838.6","6,705.7","6,361.6","5,739.1","5,587.3","5,315.4","5,064.1","4,847.2","4,527.9","4,127.7","3,683.6","3,683.0","3,550.3","3,491.6","3,325.5","3,647.7","3,601.9","3,562.6","3,080.6","2,751.6","2,665.6","2,565.7","2,333.0","2,165.4","1,881.4"
Nonalcoholic beverages,Mexico,"1,002.2",880.1,726.9,554.3,474.4,418.8,367.2,330.3,324.2,334.9,326.4,290.6,277.0,267.6,243.7,263.8,283.9,259.8,228.9,196.5,187.4,177.7,157.0,131.7,112.8
Nonalcoholic beverages,Canada,516.9,438.1,374.6,322.8,283.3,223.6,162.8,147.0,89.4,96.5,138.3,167.5,136.2,118.6,102.6,130.9,140.2,191.6,227.7,247.3,269.2,262.3,220.9,237.0,272.1
Nonalcoholic beverages,Italy,459.1,374.2,291.2,358.1,332.1,279.7,260.1,240.6,241.7,221.0,189.3,163.2,143.3,137.8,120.8,111.8,107.3,84.1,80.5,63.9,51.8,41.3,31.6,35.6,27.8
Nonalcoholic beverages,Austria,349.1,600.8,889.9,"1,045.2","1,027.2",950.6,864.0,696.3,600.7,490.4,509.2,529.1,461.0,390.5,332.2,326.5,597.6,760.2,442.6,335.6,185.2,84.7,91.6,48.1,15.0
Nonalcoholic beverages,Switzerland,279.9,451.3,689.1,641.4,715.8,718.0,806.6,842.2,933.6,766.1,672.5,543.9,445.3,381.8,403.8,430.4,126.4,32.0,0.3,0.4,0.5,0.2,0.5,0.4,0.4
Nonalcoholic beverages,France,260.3,258.0,239.2,223.6,244.9,223.0,230.5,188.2,156.5,174.7,147.0,136.3,117.9,111.6,98.5,112.0,120.9,96.6,89.2,100.4,80.0,97.3,107.5,112.7,110.2
Nonalcoholic beverages,Rest of world,"1,107.0","1,179.8","1,194.9",994.5,858.3,979.1,"1,028.0",945.8,800.2,707.0,606.8,575.6,449.4,382.2,324.3,500.7,635.9,343.9,260.4,214.1,191.9,159.2,136.3,116.8,87.7
Nonalcoholic beverages,World,"3,974.5","4,182.3","4,405.8","4,139.9","3,936.0","3,792.8","3,719.2","3,390.4","3,146.3","2,790.6","2,589.5","2,406.2","2,030.1","1,790.1","1,625.9","1,876.1","2,012.2","1,768.2","1,329.6","1,158.2",966.0,822.7,745.4,682.3,626.0
Liquors and liqueurs 5/,Mexico,"4,743.1","5,048.1","3,740.3","2,668.2","1,846.9","1,522.9","1,298.6","1,133.9","1,118.7","1,053.5",818.6,781.4,755.5,684.5,569.2,612.8,634.7,581.8,488.5,436.8,461.7,433.1,345.5,374.8,209.6
Liquors and liqueurs 5/,France,"1,945.6","3,069.9","2,937.0","2,367.7","2,548.3","2,275.1","2,062.9","2,068.1","1,873.0","1,785.2","1,777.3","1,722.9","1,606.4","1,445.3","1,301.2","1,457.7","1,506.2","1,285.5","1,148.8",953.7,845.4,736.7,629.7,584.0,523.1
Liquors and liqueurs 5/,United Kingdom,"1,663.2","1,532.9","1,191.5","1,254.7","1,878.3","1,777.8","1,713.7","1,656.5","1,546.3","1,538.1","1,504.6","1,352.9","1,246.0","1,119.6","1,015.1","1,068.6","1,070.3",971.1,896.3,822.4,720.8,672.3,642.2,644.8,604.8
Liquors and liqueurs 5/,Canada,537.6,483.7,502.5,444.6,423.9,389.8,366.9,392.1,392.7,412.4,430.6,357.3,334.6,291.6,273.5,290.6,298.8,274.5,279.3,317.9,295.3,299.7,358.1,383.1,377.8
Liquors and liqueurs 5/,Netherlands,364.4,351.7,314.3,299.1,328.0,345.8,257.9,302.7,298.1,276.4,291.3,258.2,250.9,244.7,199.7,206.7,178.4,174.1,144.4,152.0,149.6,129.7,115.5,88.3,45.1
Liquors and liqueurs 5/,Ireland,265.4,358.2,391.4,505.1,797.0,689.5,617.5,548.9,525.7,451.3,427.4,378.9,335.2,290.8,259.5,286.6,281.2,266.1,215.8,200.7,219.9,179.4,163.7,146.3,145.9
Liquors and liqueurs 5/,Italy,242.1,233.7,153.0,104.2,177.9,170.1,144.4,139.0,144.6,142.9,152.8,153.5,145.2,141.6,151.1,139.8,128.2,110.4,102.1,91.2,84.2,74.1,69.7,68.1,62.6
Liquors and liqueurs 5/,Sweden,137.8,159.0,177.2,224.9,245.9,234.9,259.5,273.4,289.2,315.0,344.3,360.7,406.7,420.3,418.5,402.4,401.6,364.0,373.0,345.1,324.8,289.9,267.4,211.8,189.6
Liquors and liqueurs 5/,Rest of world,780.1,863.0,771.1,610.7,742.7,679.0,671.2,679.8,626.1,651.9,686.4,702.0,687.1,585.3,621.2,590.1,563.6,492.5,451.9,400.2,340.3,289.9,257.2,225.0,224.2
